repo,sha,author,date,message,url
noyama-duo/homebrew-core,72363da63790cd88332bfd2f4430d3c656558c1e,BrewTestBot,2025-09-03T00:36:49.000Z,Merge pull request #235933 from Homebrew/bump-node-sass-1.92.0,https://github.com/noyama-duo/homebrew-core/commit/72363da63790cd88332bfd2f4430d3c656558c1e
hefiw/Web_PrimalTraining,e9f63b3e2e8d2b1e87bb73a7fd6fe22b46cc29b5,ChurkaRis,2025-10-06T11:38:30.000+03:00,replace__node-sass=>sass,https://github.com/hefiw/Web_PrimalTraining/commit/e9f63b3e2e8d2b1e87bb73a7fd6fe22b46cc29b5
harrybeckwith/gardening-website,c94fee5501b18dfb755899f7e99a16e17edb117a,Harry,2025-09-21T15:52:18.000+01:00,node-sass,https://github.com/harrybeckwith/gardening-website/commit/c94fee5501b18dfb755899f7e99a16e17edb117a
ShamazRaheem/Shamaz-portfolio,82f3672d2bb3c6b8a3e0ed52bd12eaf68dcb06a6,shamaz raheem,2025-10-21T20:52:32.000+05:00,fix: replaced node-sass with sass,https://github.com/ShamazRaheem/Shamaz-portfolio/commit/82f3672d2bb3c6b8a3e0ed52bd12eaf68dcb06a6
Homebrew/homebrew-core,72363da63790cd88332bfd2f4430d3c656558c1e,BrewTestBot,2025-09-03T00:36:49.000Z,Merge pull request #235933 from Homebrew/bump-node-sass-1.92.0,https://github.com/Homebrew/homebrew-core/commit/72363da63790cd88332bfd2f4430d3c656558c1e
edradgodoy/Clases,74cbbb7540d218b5145eaa87af5661331f8b3006,dependabot[bot],2025-09-01T14:06:47.000Z,Bump form-data and node-sass,https://github.com/edradgodoy/Clases/commit/74cbbb7540d218b5145eaa87af5661331f8b3006
j-guerreiro/dev-cats-app,bad4121de16a08eb50d4b9cfff8bc76708527567,jguerreiro,2025-10-23T18:51:20.000-03:00,Remove node-sass and add just sass.,https://github.com/j-guerreiro/dev-cats-app/commit/bad4121de16a08eb50d4b9cfff8bc76708527567
L0ki1/Proyecto_Tecnologico_Front,b65ff847fabe55adcf9fbed4be0058d8d94f6788,jj-developers,2025-09-17T19:24:08.000-06:00,node sass,https://github.com/L0ki1/Proyecto_Tecnologico_Front/commit/b65ff847fabe55adcf9fbed4be0058d8d94f6788
dinotudor/fm-frontend,58dc3f0a60a0a5b3b54d330d8ddabb1c2d1b3998,Dino Tudor,2025-10-01T07:56:44.000+02:00,Merge pull request #16 from dinotudor/dependabot/npm_and_yarn/tough-cookie-and-node-sass-4.1.3,https://github.com/dinotudor/fm-frontend/commit/58dc3f0a60a0a5b3b54d330d8ddabb1c2d1b3998
dinotudor/fm-frontend,aacaa511bff7a33711cfeb367cb515cffa358529,Dino Tudor,2025-10-01T07:47:36.000+02:00,Merge pull request #14 from dinotudor/dependabot/npm_and_yarn/scss-tokenizer-and-node-sass-0.4.3,https://github.com/dinotudor/fm-frontend/commit/aacaa511bff7a33711cfeb367cb515cffa358529
videinfra/static-website-builder,047739d6fe42f20ac5c7e01949f001751c830f36,Kaspars Zuks,2025-10-22T13:00:42.000+03:00,Removed `node-sass` and use `sass` module,https://github.com/videinfra/static-website-builder/commit/047739d6fe42f20ac5c7e01949f001751c830f36
Ocelot-Social-Community/Ocelot-Social,59dd43513815507a9adcc1227b21410b484e9e6b,Ulf Gebhardt,2025-09-26T15:01:10.000+02:00,update node-sass,https://github.com/Ocelot-Social-Community/Ocelot-Social/commit/59dd43513815507a9adcc1227b21410b484e9e6b
turankantarci/simple-image-search,fa52a17210c3e094575ceb8d24bafa62d94d64d1,Turan Kantarcı,2025-10-11T04:10:35.000+03:00,Merge pull request #7 from turankantarci/dependabot/npm_and_yarn/semver-and-node-sass-and-react-scripts-7.5.4,https://github.com/turankantarci/simple-image-search/commit/fa52a17210c3e094575ceb8d24bafa62d94d64d1
this-is-matt/Portfolio-MP,e05fdbac45f84ac345014dbf7abc5b07174a1ae2,this-is-matt,2025-10-15T19:32:49.000-06:00,"set up node, sass, etc again",https://github.com/this-is-matt/Portfolio-MP/commit/e05fdbac45f84ac345014dbf7abc5b07174a1ae2
Peter-Eshak-Abdo/abona-faltaus,b0ce46d31799d9b0e7b648bed6ca416866b92950,Peter Eshak Abdo,2025-10-15T13:21:35.000+03:00,fix: replace node-sass with sass,https://github.com/Peter-Eshak-Abdo/abona-faltaus/commit/b0ce46d31799d9b0e7b648bed6ca416866b92950
ipatch/homebrew-core-catalina,b30a0dc2267dc389c34df1eda4c149c6e782d9c7,BrewTestBot,2025-08-25T23:54:23.000Z,Merge pull request #234920 from Homebrew/bump-node-sass-1.91.0,https://github.com/ipatch/homebrew-core-catalina/commit/b30a0dc2267dc389c34df1eda4c149c6e782d9c7
robertgregorywest/thames-tutoring,547922e7a48520aba22b6d82f04b254736fc5b9f,Rob West,2025-10-03T13:15:23.000+01:00,Merge pull request #17 from robertgregorywest/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/robertgregorywest/thames-tutoring/commit/547922e7a48520aba22b6d82f04b254736fc5b9f
NaViMaTRiX/Taskify,179195034090053b5f5a65a73db13993bd812805,Nikita,2025-09-24T20:22:17.000+03:00,delete node-sass,https://github.com/NaViMaTRiX/Taskify/commit/179195034090053b5f5a65a73db13993bd812805
govfresh/govpress,6f0eff4c168a9bc40c2057534ed7960bc7af84bf,Luke Fretwell,2025-09-19T20:06:10.000-07:00,Merge pull request #144 from govfresh/dependabot/npm_and_yarn/tough-cookie-and-node-sass--removed,https://github.com/govfresh/govpress/commit/6f0eff4c168a9bc40c2057534ed7960bc7af84bf
noyama-duo/homebrew-core,b30a0dc2267dc389c34df1eda4c149c6e782d9c7,BrewTestBot,2025-08-25T23:54:23.000Z,Merge pull request #234920 from Homebrew/bump-node-sass-1.91.0,https://github.com/noyama-duo/homebrew-core/commit/b30a0dc2267dc389c34df1eda4c149c6e782d9c7
Homebrew/homebrew-core,b30a0dc2267dc389c34df1eda4c149c6e782d9c7,BrewTestBot,2025-08-25T23:54:23.000Z,Merge pull request #234920 from Homebrew/bump-node-sass-1.91.0,https://github.com/Homebrew/homebrew-core/commit/b30a0dc2267dc389c34df1eda4c149c6e782d9c7
therealjasonjara/vanilla-portfolio,ca485cf02aed63f6604300b5affad65e1f331961,Jason,2025-10-03T12:02:56.000+08:00,Merge pull request #4 from therealjasonjara/dependabot/npm_and_yarn/node-sass-4.14.1,https://github.com/therealjasonjara/vanilla-portfolio/commit/ca485cf02aed63f6604300b5affad65e1f331961
doopage/react-chat-widget,a904c9c76c13a9fb4a961be17048e3a793da2f33,Nobi,2025-10-03T16:17:48.000+07:00,Migrate node-sass to sass,https://github.com/doopage/react-chat-widget/commit/a904c9c76c13a9fb4a961be17048e3a793da2f33
turankantarci/simple-image-search,dcf5a511bad5e69f5127c7e464b936769d5d33ed,Turan Kantarcı,2025-10-11T04:10:20.000+03:00,Merge pull request #8 from turankantarci/dependabot/npm_and_yarn/tough-cookie-and-node-sass-and-react-scripts-4.1.3,https://github.com/turankantarci/simple-image-search/commit/dcf5a511bad5e69f5127c7e464b936769d5d33ed
hemanth506/hemanthraajG,8c53c46e7243fea1eb6fc9cf28404d9426ab6243,Hemanth Raaj - Pluralsight,2025-09-17T01:30:37.000+05:30,removed node-sass,https://github.com/hemanth506/hemanthraajG/commit/8c53c46e7243fea1eb6fc9cf28404d9426ab6243
