full_name,html_url,downloads_url,created_at,updated_at,stargazers_count,language,has_issues,has_projects,has_downloads,forks_count,archived,disabled,open_issues_count,default_branch,subscribers_count,organization/type,commits_count,contr_count
imaginabit/firma-tangente,https://github.com/imaginabit/firma-tangente,https://api.github.com/repos/imaginabit/firma-tangente/downloads,2015-01-15 14:05:06+00:00,2025-08-22 08:22:34+00:00,0.0,JavaScript,True,True,True,0.0,False,False,13.0,master,1.0,,120.0,3
ARIG-Robotique/calculette,https://github.com/ARIG-Robotique/calculette,https://api.github.com/repos/ARIG-Robotique/calculette/downloads,2021-09-18 18:49:00+00:00,2025-10-06 11:28:53+00:00,4.0,TypeScript,True,False,True,0.0,False,False,0.0,main,5.0,Organization,67.0,5
mcagov/droits,https://github.com/mcagov/droits,https://api.github.com/repos/mcagov/droits/downloads,2023-02-13 15:24:32+00:00,2025-11-07 16:31:08+00:00,2.0,C#,True,True,True,3.0,False,False,13.0,main,0.0,Organization,1828.0,12
celebsam/portfolio,https://github.com/celebsam/portfolio,https://api.github.com/repos/celebsam/portfolio/downloads,2022-11-02 14:19:33+00:00,2025-09-23 21:42:38+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,1.0,,20.0,1
ipatch/homebrew-core-catalina,https://github.com/ipatch/homebrew-core-catalina,https://api.github.com/repos/ipatch/homebrew-core-catalina/downloads,2023-06-29 21:05:58+00:00,2023-06-29 23:10:54+00:00,0.0,Ruby,True,True,True,0.0,False,False,2.0,main-ipatch-cat,1.0,,666593.0,30
AdityaRitpurkar/Mern-todo-app,https://github.com/AdityaRitpurkar/Mern-todo-app,https://api.github.com/repos/AdityaRitpurkar/Mern-todo-app/downloads,2025-09-13 19:54:00+00:00,2025-09-14 13:45:30+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,4.0,1
ahmedeldeep28/masadir-next,https://github.com/ahmedeldeep28/masadir-next,https://api.github.com/repos/ahmedeldeep28/masadir-next/downloads,2022-11-08 13:06:11+00:00,2025-09-10 10:11:45+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,10.0,1
wanho1108/webfont-preview-and-convert,https://github.com/wanho1108/webfont-preview-and-convert,https://api.github.com/repos/wanho1108/webfont-preview-and-convert/downloads,2019-12-20 06:43:38+00:00,2025-08-25 01:34:51+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,57.0,1
anigrili/individual_level_project,https://github.com/anigrili/individual_level_project,https://api.github.com/repos/anigrili/individual_level_project/downloads,2025-09-29 02:31:34+00:00,2025-10-30 10:43:34+00:00,12.0,,True,True,True,0.0,False,False,0.0,master,0.0,,2029.0,1
julienjamet/groupomania,https://github.com/julienjamet/groupomania,https://api.github.com/repos/julienjamet/groupomania/downloads,2023-01-20 17:31:29+00:00,2025-08-07 12:37:07+00:00,0.0,JavaScript,True,True,True,0.0,False,False,13.0,main,1.0,,7.0,2
dlhostetler/tfedb,https://github.com/dlhostetler/tfedb,https://api.github.com/repos/dlhostetler/tfedb/downloads,2020-02-08 23:10:58+00:00,2025-08-07 01:49:41+00:00,1.0,TypeScript,True,True,True,0.0,False,False,24.0,master,2.0,,64.0,1
dotkaio/react-dashboards,https://github.com/dotkaio/react-dashboards,https://api.github.com/repos/dotkaio/react-dashboards/downloads,2022-07-12 16:45:14+00:00,2025-09-27 23:26:07+00:00,0.0,JavaScript,True,True,True,0.0,False,False,42.0,main,0.0,,203.0,3
chriscondreay/Menu-Project,https://github.com/chriscondreay/Menu-Project,https://api.github.com/repos/chriscondreay/Menu-Project/downloads,2025-06-18 09:28:01+00:00,2025-08-06 10:33:09+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,30.0,1
luckasdc/vlaaienslag,https://github.com/luckasdc/vlaaienslag,https://api.github.com/repos/luckasdc/vlaaienslag/downloads,2020-10-11 10:29:36+00:00,2025-09-20 18:13:10+00:00,0.0,Vue,True,True,True,1.0,False,False,0.0,master,1.0,,52.0,2
morarasu-alexandru/redux-async-workshop,https://github.com/morarasu-alexandru/redux-async-workshop,https://api.github.com/repos/morarasu-alexandru/redux-async-workshop/downloads,2020-06-17 18:17:55+00:00,2025-08-22 09:11:33+00:00,0.0,JavaScript,True,True,True,0.0,False,False,8.0,master,1.0,,20.0,2
mosessndahiro-source/means-admin,https://github.com/mosessndahiro-source/means-admin,https://api.github.com/repos/mosessndahiro-source/means-admin/downloads,2025-09-05 03:11:03+00:00,2025-09-06 06:18:44+00:00,0.0,TypeScript,True,True,True,0.0,False,False,0.0,main,0.0,,9.0,1
