repo,sha,author,date,message,url,stars,contributors,description,total_commits
richierome/Portfolio,8fa1279b222d676e94f2e6be15495b07ecf2d2b3,rick romero,2025-09-13T20:05:16.000-07:00,replaced node-sass with sass+ updated gulp-sass,https://github.com/richierome/Portfolio/commit/8fa1279b222d676e94f2e6be15495b07ecf2d2b3,0.0,1.0,Updated Portfolio,73.0
naren18072005/glow24-,287f775117478ea917b048619559d052f25c71d3,gpt-engineer-app[bot],2025-07-27T16:55:04.000Z,Fix node-sass installation error,https://github.com/naren18072005/glow24-/commit/287f775117478ea917b048619559d052f25c71d3,0.0,1.0,,78.0
dwp/retirement-maintain,36b1c42e443335e2ab42f9d99176bd0f19131a82,Joe Lanman,2015-09-24T17:11:31.000+01:00,updated node-sass and grunt-sass,https://github.com/dwp/retirement-maintain/commit/36b1c42e443335e2ab42f9d99176bd0f19131a82,1.0,1.0,,7965.0
hlsitechio/flexioapp,0f6928655f9aad687b487fe23759294da718efd0,gpt-engineer-app[bot],2025-08-16T14:03:16.000Z,Fix: Resolve node-sass build errors,https://github.com/hlsitechio/flexioapp/commit/0f6928655f9aad687b487fe23759294da718efd0,0.0,1.0,,702.0
dotkaio/react-dashboards,73037c3fc88a60349657327cbc318f16594ee03a,kaio ferraz,2025-09-26T19:47:03.000-07:00,Merge pull request #46 from dotkaio/dependabot/npm_and_yarn/urbanui-azia-react-pro-93517b1be056/template/demo_2/scss-tokenizer-and-node-sass-0.4.3,https://github.com/dotkaio/react-dashboards/commit/73037c3fc88a60349657327cbc318f16594ee03a,0.0,1.0,,
dotkaio/react-dashboards,4fb030ed2e19e797a7a21e5532e126f43456eedb,kaio ferraz,2025-09-26T19:46:20.000-07:00,Merge pull request #45 from dotkaio/dependabot/npm_and_yarn/urbanui-azia-react-pro-93517b1be056/template/demo_2/trim-newlines-and-node-sass-3.0.1,https://github.com/dotkaio/react-dashboards/commit/4fb030ed2e19e797a7a21e5532e126f43456eedb,0.0,1.0,,
shubhamsd878/swagZinn-frontend-NextJS,00652d5e169c8edc2ad4e1933360af75c5e3b2bd,shubhamsd878,2025-09-08T22:13:24.000+05:30,"deployment fix 2: sass installed, node-sass uninstalled",https://github.com/shubhamsd878/swagZinn-frontend-NextJS/commit/00652d5e169c8edc2ad4e1933360af75c5e3b2bd,0.0,1.0,Previously created in React JS. Now migrated to Next JS.,14.0
DLC-engineering-s-r-o/dlc,d660ea219e78338809db44cb166c7792f5ff6513,vyvoj-dlc,2025-08-29T13:35:05.000+02:00,replace deprecated node-sass with sass,https://github.com/DLC-engineering-s-r-o/dlc/commit/d660ea219e78338809db44cb166c7792f5ff6513,0.0,1.0,Public website for dlc.cz,84.0
Homebrew/homebrew-core,bcc3f62fa95285d82ab271757ac2551623b82031,BrewTestBot,2025-09-03T00:32:00.000Z,node-sass: update 1.92.0 bottle.,https://github.com/Homebrew/homebrew-core/commit/bcc3f62fa95285d82ab271757ac2551623b82031,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
parjanyaacoder/Digi_classes,fd0441645c4b45a6e433f0918cf7c5e2c8da12fc,parjanyaacoder,2025-08-24T22:55:19.000+05:30,switch from node-sass to sass,https://github.com/parjanyaacoder/Digi_classes/commit/fd0441645c4b45a6e433f0918cf7c5e2c8da12fc,0.0,1.0,,4.0
onokje/rocketfactory,caa34e0956d9645b08645c7310561e34a437aba0,dependabot[bot],2025-07-29T10:04:36.000Z,Bump tough-cookie and node-sass,https://github.com/onokje/rocketfactory/commit/caa34e0956d9645b08645c7310561e34a437aba0,0.0,1.0,Webbased game written in react,100.0
ember-learn/ember-api-docs,f259e2a1813ecef53957ac180288ae71e3a9b795,Katie Gengler,2025-08-17T21:44:59.000-04:00,Remove unused node-sass package,https://github.com/ember-learn/ember-api-docs/commit/f259e2a1813ecef53957ac180288ae71e3a9b795,74.0,1.0,Ember API Docs viewer,1335.0
asmdip12/Mission-Parivartan-3,8e1087b1e8e6d650c32330dea15ebec7a9c8a92e,asmdip12,2025-08-16T20:21:21.000+05:30,migrated node-sass to sass,https://github.com/asmdip12/Mission-Parivartan-3/commit/8e1087b1e8e6d650c32330dea15ebec7a9c8a92e,0.0,1.0,,20.0
sonalashr/fsl-develops-challenge,be468052ddb693f1201e97106e0c848390b0d765,sonal,2025-09-07T18:51:33.000+05:30,Replace node-sass with sass for CI compatibility,https://github.com/sonalashr/fsl-develops-challenge/commit/be468052ddb693f1201e97106e0c848390b0d765,0.0,1.0,,
